question,answer
What to do if someone has a cardicac arrest?,"If you think someone is in cardiac arrest, there are four steps you can take to help them.
    Find a person nearby. Make eye contact, point to them, and say: 'Call 911.'
    Start doing chest compressions on the person who needs help. Using both your hands, push down hard and fast in the center of the person's chest. Let their chest come back up naturally between compressions. You may hear pops or snaps; this is normal.
    Keep going until someone with more training arrives.
    If you're trained in CPR, you can use chest compressions and rescue breathing.
    If it's available, use an AED. However, do not put off doing chest compressions to go look for an AED. If possible, instruct someone else to go find the device and bring it to you."
"My friend is injured and bleeding, what to do?","Put on disposable gloves if you have them. This will protect you from infectious diseases like viral hepatitis and HIV/AIDS that can be spread in a person's blood.6
    Rinse the wound with water.
    Cover the wound with a gauze or cloth (e.g., towel, blanket, clothing).
    Apply direct pressure to stop the flow of blood and encourage clotting (when blood naturally thickens to stop blood loss).
    Elevate the bleeding body part above the person's heart if you can.
    Do not remove the cloth if it becomes soaked. Removing the first layer will interfere with the clotting process and result in more blood loss. Instead, add more layers if needed.
    Once bleeding has stopped, put a clean bandage on the wound.

Get medical help if:

    The wound is deep.
    The wound has widely separated sides.
    The injury oozes blood after pressure has been applied.
    The injury is from an animal or human bite.
    The injury is a puncture, burn, or electrical injury.
    You think there is arterial bleeding.
    Blood is soaking through the bandages.
    The bleeding is not stopping."
what is chocking?,Choking happens when a person's windpipe (trachea) gets blocked by food or an object. It is a serious event that can lead to unconsciousness or even death
what to do is someone is chocking?,"Stand behind the person and lean them slightly forward.
    Put your arms around their waist.
    Clench your fist and place it between their belly button (navel) and rib cage.
    Grab your fist with your other hand.
    Pull your clenched fist sharply backward and upward under the person's rib cage in five quick thrusts.
    Repeat until the object is coughed up."
"For someone who is obese or pregnant, how to help if they are chocking?",perform the thrusts around the chest instead of the abdomen.
What to do if someone was chocking and is now unconscious?,"Place them on their back and kneel over them.
    Place the heel of your hand slightly above their belly button.
    Place your other hand on top of it.
    Give quick upward thrusts to dislodge the object."
what to do if a baby is chocking?,"If a baby is choking, you need to use different first aid techniques to help them.

Start with back blows:
    Lay the baby across your forearm, face down.
    Support them with your lap or upper thigh.
    Hold their chest in your hand and jaw between your fingers (the baby's head should be pointed down so it's lower than their body).
    With the heel of your free hand, give five quick, forceful blows to the baby's back between the shoulder blades.

If back blows don't work, try chest thrusts:
    Turn the baby face up, keeping them on your lap for support.
    Keeping their head angled down, lower than their body, hold the back of their head with your hand to steady it.
    Place two or three of your fingers in the center of the baby's chest just below the nipples.
    Give five quick thrusts downward so the breastbone gets pushed in about 1.5 inches."
"I am chocking, and I am all alone, help me!","Call 911 first, even though you will not be able to speak. Leave the phone connected. 911 can pinpoint your location and send emergency help. Use a landline if available. If a landline isn't available, a cell phone can be used.
Grasp one fist with the other hand and place above your belly button.
Thrust inward and upward with your fist. Repeat until the object is dislodged.
You can also bend over a hard surface such as the back of a chair. Use the hard surface to apply repeated thrusts to your abdomen. Repeat until the object is dislodged."
what is the first thing to do when someone is burnt?,"The first step to treating a burn is to stop the burning process
 This might mean:
    Cleaning up chemicals
    Turning off electricity
    Cooling heat with running water
    Covering up or taking a person inside out of the sun"
what are the different degrees of burns?,"First-degree burn: This kind of burn only affects only the outer layer of skin and causes redness and swelling. It is considered a minor burn.
Second-degree burn: This kind of burn affects two layers of skin and causes blistering, redness, and swelling. It is considered a major burn if it's more than 3 inches wide or is on the face, hands, feet, genitals, buttocks, or over a major joint.
Third-degree burn: This kind of burn affects deeper layers of skin and causes white or blackened skin that can be numb. It is always considered a major burn"
what to do in case of burns?,"Major burns need emergency medical attention. Once you've stopped the burning process, call 911 or get someone else to.

For burns that are not an emergency, you can take these first aid steps:

    Flush the burned area with cool running water for several minutes. Do not use ice.
    Apply a light gauze bandage. If the burn is minor, you can put on an ointment, like aloe vera, before you cover it.
    Take Motrin (ibuprofen) or Tylenol (acetaminophen) for pain relief if you need it.
    Do not break any blisters that form"
what are blisters?,"Blisters protect damaged skin while it heals.

Some blisters need to be treated and others don't. Whether you need to treat a blister depends on how bad it is and your overall health."
What to do in case of a blister?,"If the blister is small, not open, and doesn't hurt, it's best to leave it alone. You can cover it to prevent rubbing, which could cause it to swell and burst.

Do not pop a small blister.This could let bacteria get inside it and cause an infection.

If the blister is big or painful, you need to take different steps to treat it.

Here are the first-aid steps to take for a more serious blister:

    Wash your hands.
    Sterilize a needle with alcohol.
    Make small holes at the edge of the blister.
    Gently push out the fluid.
    Apply antibiotic ointment.
    Put on a bandage.
    If possible, take steps to protect the area from further rubbing or pressure."
Are there complications that can occur from a blister?,"If you have a compromised immune system, you are more likely to get an infection and should not drain a blister on your own.However, your healthcare provider may want to drain it to help prevent infection.

If a blister breaks open on its own:

    Gently wash the area with clean water only.
    Smooth the flap of broken skin over the newly exposed skin, unless it's dirty, torn, or there is pus under it.
    Put petroleum jelly on it.
    Cover it with a bandage."
What are broken bones or fractures?,"Any injury to your limbs, hands, and feet needs to be treated as a broken bone until an X-ray can be done.

While broken bones or fractures do need medical treatment, they do not all require an emergency trip to the hospital. First aid steps can help stabilize the bone until you can see a healthcare provider."
What should we do in case we see someone with a broken part?,"Do not try to straighten the bone.
    For a limb, use a splint and padding to keep it still, then elevate it.
    Put a cold pack on the injury'but not directly on the skin. Use a barrier between the ice and the skin to keep the tissue from being damaged. If all you have is ice, put it in a plastic bag and wrap it in a shirt or towel before applying it.
    Give the person anti-inflammatory drugs like Advil (ibuprofen) or Aleve (naproxen) for pain."
When should we call the emergency if we see someone with a broken part?,"Call 911 if:

    The person is bleeding a lot, is unresponsive, is not breathing, or has more than one injury.
    You think a person has a fracture or other serious injury in their spinal column, head, hip, pelvis, or thigh. In this case, do not move the person.
    A broken bone is poking through the skin (open or compound fracture).
    The area below an injured joint feels cold and clammy or looks bluish.
    You cannot keep the injury from moving well enough to transport the person."
Do you know what is a sparin?,"A sprain is an injury to the connective tissues that hold bones, cartilage, and joints together (ligaments).
Sprains are most often caused when the twisting of a joint overstretches or tears these tissues. They tend to happen in the ankles, knees, and wrists.
American Academy of Orthopaedic Surgeons. Sprains, strains and Other soft-tissue injuries.
The symptoms of a sprain are similar to those of a broken bone. A person will need to have an X-ray to figure out which injury they have."
what are the actions to take in case of a sprain?,"The first thing to do is make sure that the injured person stops any unnecessary activity, as moving can make the injury worse.
Sprains often don't require emergency treatment.However, you should get immediate medical care if the injured person:
    Has severe pain when they move or are touched
    Cannot put any weight on the injured joint
    Has increased bruising
    Has numbness or pins-and-needles near the sprain
    Shows signs of infection
    Has little or no improvement during the first week after the injury happens
If emergency care is not needed, follow these first aid steps:
    Keep the limb as still as possible.
    Apply a cold pack.
    Elevate the injured part if you can do so safely.
    Use NSAIDs for pain.
    Ask your provider about any other treatment for a sprain you might need."
My friend has a sprain and is not able to move.,you should get immediate medical care
Is a bee sting dangerous?,"Bee stings can hurt a lot but are only a minor problem for many people. However, for people who are allergic to bee venom, a sting can be deadly."
what are the signs of an allergic reaction to a sting,"Swelling away from the area that was stung
Flushing
Hives (raised, large red or skin-colored bumps)
Itching
Signs of anaphylaxis (a life-threatening allergic reaction that can cause hives, swelling, chest pain, confusion, sweating, blue lips and nails, and trouble breathing)"
what to do in case of a bee sting?,"Call 911 immediately or get the person to the hospital if they have signs of an allergic reaction to a bee sting.

If the person who was stung has a known allergy to bee stings, use an EpiPen to prevent anaphylaxis.

In someone without a known bee allergy, watch for signs of an allergy while you're performing first aid:

    Get the stinger out immediately. This will prevent additional venom from getting into the person. To remove a stinger, it is best to use a straight-edged object such as a credit card to scrape the stinger out of the skin. Avoid squeezing the venom sac with tweezers or your fingers, as this can inject venom into the skin.
    Wash the area with soap and water.
    Use a cold pack to help with the swelling at the site; however, do not apply ice directly to the skin.
    Use an allergy medication or antihistamine (like Benadryl) to reduce swelling and itching.
    Use Tylenol (acetaminophen) or Advil (ibuprofen) for pain."
what are the causes of nosebleeds or nose bleedings?,"Nosebleeds can have various causes. In children, the most common cause of a nosebleed is digital trauma'better known as picking your nose
Other causes of a bloody nose include:
    Dry or hot air
    High altitudes
    Chemical fumes that irritate the nasal passages
    Colds and allergies
    Blowing your nose hard or often
    Trauma to the nose
    Deviated septum
Nasal polyps (non-cancerous or cancerous growths in the nasal passage and sinuses) or nasal tumors
Bleeding disorders (e.g., hemophilia and leukemia)
High blood pressure
Pregnancy
Frequent use of nasal sprays, decongestants, and antihistamines
NSAIDs
Blood thinners (e.g. warfarin)
Cocaine and other drugs that are inhaled or snorted"
What is the first thing to do if my nose is bleeding?,"If your nose is bleeding:

    Lean slightly forward, not back.
    Pinch your nose just below the bridge. It needs to be high enough that the nostrils are not pinched closed.
    After five minutes, check to see if the bleeding has stopped. If not, continue pinching and check after another 10 minutes.
    Apply a cold pack to the bridge of your nose while you're pinching.
 Call 911 or go to the emergency room if:

    The bleeding will not stop even after more than 15 minutes of direct pressure.
    There is a lot of blood loss.
    You have a hard time breathing.
    You've swallowed a lot of blood and vomited it up.
    You've had a serious injury or a blow to the head."
