results_dir,system,scenario_id,word_count,congruence,bertscore_f1
qwen,RAG,choking_adult_01,153,1.0,0.8065
qwen,RAG,cardiac_arrest_01,130,1.0,0.7812
qwen,RAG,severe_bleeding_01,178,1.0,0.7899
qwen,RAG,heart_attack_01,231,1.0,0.756
qwen,RAG,burn_01,241,1.0,0.8052
qwen,RAG,anaphylaxis_01,149,0.3333333333333333,0.7642
qwen,RAG,seizure_01,212,0.6666666666666666,0.7723
qwen,RAG,minor_cut_01,150,0.6666666666666666,0.8131
qwen,VanillaLLM,choking_adult_01,272,0.75,0.7361
qwen,VanillaLLM,cardiac_arrest_01,461,1.0,0.7053
qwen,VanillaLLM,severe_bleeding_01,343,1.0,0.7604
qwen,VanillaLLM,heart_attack_01,338,1.0,0.7543
qwen,VanillaLLM,burn_01,406,1.0,0.7203
qwen,VanillaLLM,anaphylaxis_01,403,0.6666666666666666,0.772
qwen,VanillaLLM,seizure_01,295,1.0,0.7421
qwen,VanillaLLM,minor_cut_01,304,1.0,0.7731
qwen,IntentClassifier,choking_adult_01,22,0.25,0.712
qwen,IntentClassifier,cardiac_arrest_01,51,1.0,0.903
qwen,IntentClassifier,severe_bleeding_01,22,0.5,0.7283
qwen,IntentClassifier,heart_attack_01,22,0.3333333333333333,0.7441
qwen,IntentClassifier,burn_01,22,0.0,0.7112
qwen,IntentClassifier,anaphylaxis_01,22,0.3333333333333333,0.7464
qwen,IntentClassifier,seizure_01,22,0.0,0.7006
qwen,IntentClassifier,minor_cut_01,38,1.0,0.937
groq_gpt-oss-120b,RAG,choking_adult_01,330,0.75,0.7538
groq_gpt-oss-120b,RAG,cardiac_arrest_01,301,0.6666666666666666,0.7476
groq_gpt-oss-120b,RAG,severe_bleeding_01,296,1.0,0.7635
groq_gpt-oss-120b,RAG,heart_attack_01,213,1.0,0.7571
groq_gpt-oss-120b,RAG,burn_01,327,1.0,0.7456
groq_gpt-oss-120b,RAG,anaphylaxis_01,231,0.3333333333333333,0.733
groq_gpt-oss-120b,RAG,seizure_01,312,0.6666666666666666,0.7387
groq_gpt-oss-120b,RAG,minor_cut_01,330,1.0,0.7678
